sub_num,cond,run,vox,oddeven,beta
0,0,0,0,0,-1.9137820177977944
0,0,1,1,1,0.6018253587091316
0,0,2,2,0,0.4655364265703721
0,0,3,3,1,2.388045409758355
0,0,4,4,0,2.6798661396520735
0,0,5,5,1,1.1418546406641177
0,0,0,6,0,0.12532816704145588
0,0,1,7,1,0.8080465071663054
0,0,2,8,0,2.5341820530922687
0,0,3,9,1,-0.018722150279544936
0,0,4,10,0,-0.18817451280522857
0,0,5,11,1,0.9717436568523241
0,0,0,12,0,1.4474242109002682
0,0,1,13,1,-0.5778056559262204
0,0,2,14,0,-2.0101246573170353
0,0,3,15,1,-1.159872859868578
0,0,4,16,0,2.4874787475756257
0,0,5,17,1,-1.507719354283878
0,0,0,18,0,0.4947910383309777
0,0,1,19,1,0.7008972387398131
0,0,2,20,0,2.4660054117669983
0,0,3,21,1,1.5715738175664746
0,0,4,22,0,2.1730973466289587
0,0,5,23,1,0.7798723484407133
0,0,0,24,0,-2.3689011410640672
0,0,1,25,1,-2.8457977607743374
0,0,2,26,0,1.2987324411733407
0,0,3,27,1,-0.6336448978127671
0,0,4,28,0,1.966297745645992
0,0,5,29,1,0.4187457806730519
0,0,0,30,0,2.972140775217504
0,0,1,31,1,2.068355806566996
0,0,2,32,0,1.2905300289925814
0,0,3,33,1,-1.0526046906377609
0,0,4,34,0,-1.7177155222614628
0,0,5,35,1,-0.21104364464168812
0,0,0,36,0,1.9150899038093083
0,0,1,37,1,2.9636498535454256
0,0,2,38,0,-0.21431899352683814
0,0,3,39,1,-2.184908071024429
0,0,4,40,0,1.1696296637946515
0,0,5,41,1,1.7466318990072507
0,0,0,42,0,2.523927647270254
0,0,1,43,1,0.680876769288612
0,0,2,44,0,1.0602422424140594
0,0,3,45,1,0.5471516865517976
0,0,4,46,0,0.4390823255922469
0,0,5,47,1,0.2807859955316072
0,0,0,48,0,-2.1437620088275025
0,0,1,49,1,-2.210701418908749
0,0,2,50,0,0.20743231849591104
0,0,3,51,1,1.1182016665509518
0,0,4,52,0,0.9693024507671237
0,0,5,53,1,0.4506935605808058
0,0,0,54,0,-0.6543579738744643
0,0,1,55,1,1.5345042030277876
0,0,2,56,0,0.1486858458315521
0,0,3,57,1,0.6506076391749931
0,0,4,58,0,0.643994701618268
0,0,5,59,1,1.547119013619854
0,0,0,60,0,0.7657977216915306
0,0,1,61,1,2.1541795359998357
0,0,2,62,0,-0.5781510326290844
0,0,3,63,1,1.1283284989391669
0,0,4,64,0,0.267948664666545
0,0,5,65,1,1.58841382878896
0,0,0,66,0,1.1752960299466375
0,0,1,67,1,-1.2928588542187167
0,0,2,68,0,-0.6486980672310669
0,0,3,69,1,-2.7651247487637796
0,0,4,70,0,-0.22263180093851265
0,0,5,71,1,0.3779673143775861
0,0,0,72,0,1.9507613991120833
0,0,1,73,1,0.19053043050112572
0,0,2,74,0,-0.217281711221311
0,0,3,75,1,1.6126764184590527
0,0,4,76,0,0.11901647156781858
0,0,5,77,1,-2.488124511003459
0,0,0,78,0,0.8817003384670441
0,0,1,79,1,1.196946207768503
0,0,2,80,0,1.1795626408020246
0,0,3,81,1,-2.0987029434339046
0,0,4,82,0,-1.4806603286762747
0,0,5,83,1,0.8268588232936134
0,0,0,84,0,1.1704082881147062
0,0,1,85,1,-0.42000122870764
0,0,2,86,0,-2.9657406557329624
0,0,3,87,1,0.6150010130429404
0,0,4,88,0,2.1666674896273
0,0,5,89,1,0.10263892046566103
0,0,0,90,0,1.6559705604465673
0,0,1,91,1,-0.08874757703311476
0,0,2,92,0,0.012357797302621987
0,0,3,93,1,1.9269289072963123
0,0,4,94,0,1.9611629481640143
0,0,5,95,1,1.7786242470675417
0,0,0,96,0,0.9577684948198383
0,0,1,97,1,-2.9806095157484087
0,0,2,98,0,2.788770430028391
0,0,3,99,1,2.333722128409239
0,0,4,99,0,2.7583363109936725
0,0,5,98,1,-0.07526090920872042
0,0,0,97,0,-1.4399526607017359
0,0,1,96,1,-0.46623529790965357
0,0,2,95,0,1.1779916340720096
0,0,3,94,1,1.079722527862548
0,0,4,93,0,2.8066862036964046
0,0,5,92,1,1.918308781823729
0,0,0,91,0,-0.1109849067882589
0,0,1,90,1,1.7536689881730734
